,user_num-mean,like_mean-mean,emo1-mean,emo1_r-mean,emo2-mean,emo2_r-mean,emo3-mean,emo3_r-mean,emo4-mean,emo4_r-mean,emo5-mean,emo5_r-mean,emo6-mean,emo6_r-mean,emo7-mean,emo7_r-mean,all_num-mean,y-mean,user_num-1,like_mean-1,emo1-1,emo1_r-1,emo2-1,emo2_r-1,emo3-1,emo3_r-1,emo4-1,emo4_r-1,emo5-1,emo5_r-1,emo6-1,emo6_r-1,emo7-1,emo7_r-1,all_num-1,user_num-2,like_mean-2,emo1-2,emo1_r-2,emo2-2,emo2_r-2,emo3-2,emo3_r-2,emo4-2,emo4_r-2,emo5-2,emo5_r-2,emo6-2,emo6_r-2,emo7-2,emo7_r-2,all_num-2,user_num-3,like_mean-3,emo1-3,emo1_r-3,emo2-3,emo2_r-3,emo3-3,emo3_r-3,emo4-3,emo4_r-3,emo5-3,emo5_r-3,emo6-3,emo6_r-3,emo7-3,emo7_r-3,all_num-3,y1,y2,y3,y
0,4135,226.8361732,1666,0.304102771,1813,0.325705968,613.3333333,0.1079513,463,0.081184173,552.6666667,0.096532617,118.6666667,0.019924405,365,0.064598766,5591.666667,15389,3581,271.7590039,1869,0.385281385,1715,0.353535354,376,0.077509792,290,0.059781488,312,0.064316636,23,0.00474129,266,0.054834055,4851,4308,218.9917568,1786,0.307295251,1692,0.291121817,807,0.138850654,469,0.080695114,599,0.103062629,65,0.011183758,394,0.067790778,5812,4516,189.7577589,1343,0.219731675,2032,0.332460733,657,0.107493455,630,0.103075916,747,0.122218586,268,0.043848168,435,0.071171466,6112,26078,6889,13200,10531
1,3689.333333,321.07852,1677.666667,0.337999399,1601,0.319138224,648,0.133038407,331.6666667,0.065853754,386.6666667,0.074228939,36,0.006877944,315.6666667,0.062863333,4996.666667,10206.66667,3179,472.4847993,1431,0.332095614,1180,0.27384544,904,0.209793456,293,0.067997215,203,0.047110699,21,0.004873521,277,0.064284057,4309,3581,271.7590039,1857,0.382177403,1800,0.370446594,314,0.06462235,264,0.054332167,329,0.067709405,24,0.004939288,271,0.055772793,4859,4308,218.9917568,1745,0.29972518,1823,0.313122638,726,0.124699416,438,0.075231879,628,0.107866712,63,0.010821024,399,0.06853315,5822,6889,13200,10531,4955
2,3266.666667,350.9272736,1785.666667,0.410153927,1296.666667,0.293584849,541.6666667,0.124962385,280,0.063937964,210,0.04704962,20.66666667,0.004756211,244.3333333,0.055555045,4379,9562,3040,308.5380176,1943,0.487945756,1114,0.279758915,338,0.084881969,231,0.05801105,139,0.034907082,22,0.005524862,195,0.048970367,3982,3179,472.4847993,1479,0.343793584,1098,0.255230126,940,0.218503022,315,0.073221757,192,0.044630404,19,0.00441655,259,0.060204556,4302,3581,271.7590039,1935,0.39872244,1678,0.345765506,347,0.071502164,294,0.060581084,299,0.061611374,21,0.00432722,279,0.057490212,4853,13200,10531,4955,5572
3,3099.666667,332.8064878,1609.333333,0.394242873,1188,0.290749852,539,0.129456208,282.3333333,0.068742358,163.6666667,0.039754228,19.66666667,0.004822955,294.6666667,0.072231526,4096.666667,7019.333333,3080,217.3966466,1451,0.363113113,1297,0.324574575,364,0.091091091,299,0.074824825,145,0.036286286,23,0.005755756,417,0.104354354,3996,3040,308.5380176,1903,0.477540778,1143,0.286825596,344,0.086323714,224,0.05621079,142,0.035633626,19,0.00476788,210,0.052697616,3985,3179,472.4847993,1474,0.342074727,1124,0.260849385,909,0.210953818,324,0.07519146,204,0.047342771,17,0.003945231,257,0.059642608,4309,10531,4955,5572,6117
4,2923.333333,288.9528732,1716,0.446141044,1158.333333,0.300783497,325,0.083737118,232.3333333,0.059898796,124.3333333,0.032069949,17.33333333,0.004428751,282.6666667,0.072940845,3856,5548,2650,340.9239554,1713,0.477291725,1121,0.312343271,244,0.067985511,179,0.049874617,97,0.027027027,9,0.002507662,226,0.062970187,3589,3080,217.3966466,1505,0.376815223,1252,0.313470205,375,0.093890836,293,0.07336004,136,0.034051077,21,0.005257887,412,0.103154732,3994,3040,308.5380176,1930,0.484316186,1102,0.276537014,356,0.089335006,225,0.056461731,140,0.035131744,22,0.005520703,210,0.052697616,3985,4955,5572,6117,8663
5,3005.666667,282.2649792,1337,0.343750061,1419.333333,0.354185549,332.3333333,0.083064466,297.6666667,0.073228709,156,0.038428188,15.66666667,0.003801045,422.6666667,0.103541982,3980.666667,6784,3287,288.4743355,923,0.211600183,1782,0.408528198,367,0.084135718,426,0.097661623,219,0.050206327,24,0.005502063,621,0.142365887,4362,2650,340.9239554,1632,0.455103179,1197,0.333798104,257,0.071667596,179,0.049916341,96,0.026770775,5,0.001394311,220,0.061349693,3586,3080,217.3966466,1456,0.36454682,1279,0.320230346,373,0.093390085,288,0.072108162,153,0.038307461,18,0.00450676,427,0.106910366,3994,5572,6117,8663,7216
6,2952.666667,327.707875,1374.666667,0.35682214,1344.666667,0.33789947,339.3333333,0.085717423,290,0.072016798,120.3333333,0.029775698,13,0.003245636,464,0.114522834,3946,7332,2921,353.725334,1470,0.377892031,1200,0.30848329,341,0.087660668,315,0.080976864,72,0.018508997,9,0.002313625,483,0.124164524,3890,3287,288.4743355,958,0.219624026,1715,0.393168271,389,0.089179276,397,0.091013297,197,0.045162769,19,0.0043558,687,0.157496561,4362,2650,340.9239554,1696,0.472950363,1119,0.312046849,288,0.080312326,158,0.044060234,92,0.025655326,11,0.003067485,222,0.061907418,3586,6117,8663,7216,4877
7,2938,362.2510645,1304,0.330773875,1557.666667,0.387316432,305,0.075916968,309,0.076023239,113,0.027247424,14,0.003459271,406.6666667,0.09926279,4009.333333,6918.666667,2606,444.5535241,1581,0.41902995,1520,0.402862444,264,0.069970845,183,0.048502518,54,0.014312218,14,0.003710575,157,0.04161145,3773,2921,353.725334,1407,0.361510791,1313,0.337358684,309,0.079393628,326,0.083761562,76,0.019527235,9,0.002312436,452,0.116135663,3892,3287,288.4743355,924,0.211780885,1840,0.421728169,342,0.078386431,418,0.095805638,209,0.047902819,19,0.004354802,611,0.140041256,4363,8663,7216,4877,6514
8,2861.666667,425.4096988,1627.333333,0.38339656,1712.333333,0.390006972,236.3333333,0.057365016,263.3333333,0.063110599,62,0.015068134,10.66666667,0.002553212,390,0.088499509,4302,6202.333333,3058,477.9502383,1778,0.338989514,2446,0.466348904,183,0.034890372,231,0.044041945,46,0.008770257,10,0.001906578,551,0.105052431,5245,2606,444.5535241,1632,0.432891247,1464,0.388328912,245,0.064986737,197,0.052254642,55,0.014588859,12,0.003183024,165,0.043766578,3770,2921,353.725334,1472,0.378308918,1227,0.315343099,281,0.072217939,362,0.093035209,85,0.021845284,10,0.002570033,454,0.116679517,3891,7216,4877,6514,5147
9,2753,394.0311743,1478,0.332107221,2008.333333,0.440165959,327,0.073810479,227.3333333,0.050607244,85.66666667,0.019288944,12.66666667,0.002878804,383.3333333,0.08114135,4522.333333,5512.666667,2595,259.5897605,1138,0.250164871,1985,0.436359639,534,0.117388437,334,0.07342273,151,0.033194109,12,0.002637942,395,0.086832271,4549,3058,477.9502383,1713,0.326596759,2509,0.478360343,194,0.036987607,186,0.035462345,46,0.008770257,12,0.002287893,585,0.111534795,5245,2606,444.5535241,1583,0.419560032,1531,0.405777896,253,0.067055394,162,0.042936655,60,0.015902465,14,0.003710575,170,0.045056984,3773,4877,6514,5147,5304
